iter	Passed	Remaining
399	37556	9389
400	37647	9294
401	37762	9205
402	37857	9112
403	37943	9016
404	38023	8919
405	38121	8826
406	38202	8729
407	38286	8633
408	38374	8538
409	38479	8446
410	38578	8353
411	38682	8262
412	38764	8165
413	38845	8069
414	38929	7973
415	39010	7877
416	39098	7782
417	39184	7686
418	39273	7592
419	39358	7496
420	39451	7402
421	39529	7306
422	39606	7209
423	39696	7115
424	39785	7021
425	39875	6926
426	39961	6831
427	40047	6736
428	40143	6643
429	40225	6548
430	40306	6452
431	40392	6358
432	40479	6263
433	40555	6167
434	40633	6071
435	40711	5976
436	40783	5879
437	40862	5784
438	40953	5690
439	41025	5594
440	41112	5500
441	41201	5406
442	41279	5311
443	41365	5217
444	41452	5123
445	41530	5028
446	41613	4934
447	41702	4840
448	41785	4746
449	41880	4653
450	41967	4559
451	42051	4465
452	42145	4372
453	42229	4278
454	42310	4184
455	42414	4092
456	42491	3998
457	42561	3903
458	42638	3808
459	42728	3715
460	42822	3622
461	42919	3530
462	43011	3437
463	43104	3344
464	43191	3250
465	43281	3157
466	43360	3064
467	43438	2970
468	43518	2876
469	43594	2782
470	43692	2690
471	43777	2596
472	43851	2503
473	43929	2409
474	44012	2316
475	44091	2223
476	44180	2130
477	44285	2038
478	44404	1946
479	44525	1855
480	44635	1763
481	44741	1670
482	44823	1577
483	44909	1484
484	44999	1391
485	45082	1298
486	45177	1205
487	45277	1113
488	45373	1020
489	45458	927
490	45541	834
491	45617	741
492	45695	648
493	45777	556
494	45857	463
495	45934	370
496	46018	277
497	46097	185
498	46178	92
499	46267	0
